8.38446e-02 3.71302e-05  3.17030e+00 3.17033e+00 2.72993e-05
8.42745e-02 6.44023e-05  3.20268e+00 3.20274e+00 2.73819e-05
8.47044e-02 5.89094e-05  3.23523e+00 3.23528e+00 2.74602e-05
8.51344e-02 5.06583e-05  3.26794e+00 3.26799e+00 2.75302e-05
8.55643e-02 5.89371e-05  3.30081e+00 3.30086e+00 2.75790e-05
8.59942e-02 3.67233e-05  3.33384e+00 3.33388e+00 2.76358e-05
8.64241e-02 6.15898e-05  3.36703e+00 3.36709e+00 2.76901e-05
8.68540e-02 7.07709e-05  3.40039e+00 3.40046e+00 2.77443e-05
8.72840e-02 4.53953e-05  3.43392e+00 3.43396e+00 2.78028e-05
8.77139e-02 3.44539e-05  3.46759e+00 3.46762e+00 2.78661e-05
8.81438e-02 6.68382e-05  3.50144e+00 3.50150e+00 2.79494e-05
8.85737e-02 7.65605e-05  3.53544e+00 3.53551e+00 2.80337e-05
8.90037e-02 3.11334e-05  3.56961e+00 3.56964e+00 2.81491e-05
8.94336e-02 4.42999e-05  3.60394e+00 3.60398e+00 2.82835e-05
8.98635e-02 7.28997e-05  3.63844e+00 3.63850e+00 2.83567e-05
9.02934e-02 5.53141e-05  3.67309e+00 3.67314e+00 2.84606e-05
9.07233e-02 4.54136e-05  3.70791e+00 3.70795e+00 2.85060e-05
9.11532e-02 5.62619e-05  3.74288e+00 3.74293e+00 2.85660e-05
9.15832e-02 4.55524e-05  3.77803e+00 3.77807e+00 2.86163e-05
9.20131e-02 6.58645e-05  3.81332e+00 3.81338e+00 2.86790e-05
9.24430e-02 5.79603e-05  3.84879e+00 3.84884e+00 2.87393e-05
9.28729e-02 4.47772e-05  3.88441e+00 3.88445e+00 2.88001e-05
9.33028e-02 4.01377e-05  3.92020e+00 3.92024e+00 2.88612e-05
9.37328e-02 7.36614e-05  3.95614e+00 3.95621e+00 2.89344e-05
9.41627e-02 6.53845e-05  3.99226e+00 3.99232e+00 2.90232e-05
9.45926e-02 2.96393e-05  4.02852e+00 4.02855e+00 2.90857e-05
9.50225e-02 4.55950e-05  4.06497e+00 4.06501e+00 2.91849e-05
9.54524e-02 8.35467e-05  4.10155e+00 4.10163e+00 2.92453e-05
9.58823e-02 4.71377e-05  4.13832e+00 4.13836e+00 2.93346e-05
9.63123e-02 3.87498e-05  4.17523e+00 4.17527e+00 2.94015e-05
9.67422e-02 5.83339e-05  4.21231e+00 4.21236e+00 2.94756e-05
9.71721e-02 5.76133e-05  4.24956e+00 4.24961e+00 2.95450e-05
9.76020e-02 5.62328e-05  4.28695e+00 4.28701e+00 2.96089e-05
9.80319e-02 5.38792e-05  4.32452e+00 4.32457e+00 2.96745e-05
9.84618e-02 4.42253e-05  4.36225e+00 4.36228e+00 2.97306e-05
9.88917e-02 4.98979e-05  4.40013e+00 4.40018e+00 2.97941e-05
9.93217e-02 7.00508e-05  4.43818e+00 4.43824e+00 2.98587e-05
9.97516e-02 5.64356e-05  4.47639e+00 4.47644e+00 2.99191e-05
1.00000e-01 3.74457e-05  4.49854e+00 4.49857e+00 2.99564e-05
