
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   ALLIE Whole Model  ALLKE Whole Model  ALLVD Whole Model ALLSE Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1  
                  X                 : 1                N: 2                -1                 -1                 -1               -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid          N: 1              1 N: 2         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid           : 1                N: 2               : 1                N: 2       
                6.93182E-03      942.739            471.371             90.2914E+06        42.7109E+03        85.6594E+03      90.2914E+06        90.3994E+06        20.3116E+03        -8.22015E-03       27.3498E-03        27.3498E-03         1.61153E+09        0.                -6.78212E+06        5.47936E+09        5.46467E+09       -8.18642E-03       -4.09321E-03       27.7273E-03        27.7273E-03  
                7.04545E-03     -115.436            -57.7073            93.244E+06         42.2733E+03        87.0197E+03      93.244E+06         93.3535E+06        19.8104E+03        -8.34097E-03       27.792E-03         27.792E-03          1.63789E+09        0.                -2.26301E+06        5.56814E+09        5.5558E+09        -8.30629E-03       -4.15315E-03       28.1818E-03        28.1818E-03  
                7.15909E-03     -958.263           -479.133             96.2432E+06        42.8449E+03        88.4003E+03      96.2432E+06        96.3552E+06        19.2138E+03        -8.46339E-03       28.234E-03         28.234E-03          1.66404E+09        0.                 1.6497E+06         5.65685E+09        5.64652E+09       -8.42766E-03       -4.21383E-03       28.6363E-03        28.6363E-03  
                7.27273E-03     -682.215           -341.109             99.2888E+06        43.7798E+03        89.6754E+03      99.2888E+06        99.4037E+06        18.5556E+03        -8.59828E-03       28.6758E-03        28.6758E-03         1.68934E+09        0.               733.067E+03          5.74556E+09        5.73431E+09       -8.56139E-03       -4.2807E-03        29.0909E-03        29.0909E-03  
                7.38636E-03      324.151            162.074            102.381E+06         43.9938E+03        90.8563E+03     102.381E+06        102.498E+06         17.9635E+03        -8.74205E-03       29.1174E-03        29.1173E-03         1.7141E+09         0.                -3.63166E+06        5.83423E+09        5.82E+09          -8.70394E-03       -4.35197E-03       29.5454E-03        29.5454E-03  
                7.5E-03          903.658            451.825            105.519E+06         43.2748E+03        92.0445E+03     105.519E+06        105.637E+06         17.4574E+03        -8.88161E-03       29.5588E-03        29.5588E-03         1.73918E+09        0.                -6.40217E+06        5.92286E+09        5.9066E+09        -8.8423E-03        -4.42115E-03       30.E-03            30.E-03      
                7.61364E-03      455.771            227.877            108.704E+06         42.5275E+03        93.3254E+03     108.704E+06        108.823E+06         16.9335E+03        -9.00947E-03       30.E-03            30.E-03             1.76498E+09        0.                -4.67313E+06        6.01147E+09        5.99586E+09       -8.96899E-03       -4.4845E-03        30.4545E-03        30.4545E-03  
                7.72727E-03     -449.395           -224.707            111.935E+06         42.5241E+03        94.683E+03      111.935E+06        112.055E+06         16.3537E+03        -9.13136E-03       30.441E-03         30.441E-03          1.79106E+09        0.              -688.104E+03          6.10003E+09        6.08643E+09       -9.0898E-03        -4.5449E-03        30.9091E-03        30.9091E-03  
                7.84091E-03     -785.152           -392.579            115.212E+06         43.2004E+03        96.0075E+03     115.212E+06        115.335E+06         15.6801E+03        -9.25913E-03       30.8818E-03        30.8818E-03         1.81668E+09        0.                 1.0157E+06         6.18858E+09        6.1756E+09        -9.21641E-03       -4.60821E-03       31.3636E-03        31.3636E-03  
                7.95455E-03     -228.304           -114.156            118.535E+06         43.7872E+03        97.2379E+03     118.535E+06        118.661E+06         15.0165E+03        -9.39717E-03       31.3224E-03        31.3224E-03         1.84163E+09        0.                -1.24612E+06        6.27707E+09        6.26235E+09       -9.35316E-03       -4.67658E-03       31.8182E-03        31.8182E-03  
