																																																																																									                                           
                             A:A1 PI: FIBERS0   A:A1 PI: HOST-1 N  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode   LE:LE11 PI: HOST-  LE:LE22 PI: HOST- LE:LE11 PI: FIBER   RF:RF2 PI: HOST-1  RF:RF2 PI: FIBER S:S11 PI: HOST-1   S:S22 PI: HOST-1  SS:S11 PI: FIBERS0 U:  U:U1 PI: HOST-1 N  U1 PI: FIBERS0   U:U2 PI: HOST-1 N   U:U2 PI: FIBERS0 
                  X                 N: 2               : 1                 -1                 -1                 -1                 -1                 -1                l-1           1 E: 1 Centroid    1 E: 1 Centroid   S0 E: 1 Centroid          N: 1              0 N: 2       E: 1 Centroid      E: 1 Centroid       E: 1 Centroid             : 1              N: 2               : 1                 N: 2      
                4.1573E-03       172.933              2.16829E+03       60.3942E+06        72.3394E+03        60.3942E+06       122.092E+03         60.5227E+06        65.8984E+03         -6.22431E-03       20.5734E-03       20.5734E-03          1.44091E+09        0.             -15.702E+06          4.11069E+09        4.11979E+09          -6.20503E-03   -495.087E-06         20.7865E-03         19.128E-03  
                4.26966E-03     -149.971             -1.87789E+03       63.6752E+06        72.163E+03         63.6752E+06       125.785E+03         63.8072E+06        65.9062E+03         -6.33547E-03       21.1237E-03       21.1237E-03          1.48229E+09        0.               5.61005E+06        4.23341E+09        4.23014E+09          -6.31547E-03   -503.898E-06         21.3483E-03         19.645E-03  
                4.38202E-03     -314.863             -3.9463E+03        67.0428E+06        76.2689E+03        67.0428E+06       129.284E+03         67.1827E+06        65.6934E+03         -6.47053E-03       21.6735E-03       21.6735E-03          1.52186E+09        0.              17.5523E+06         4.35061E+09        4.34042E+09          -6.44961E-03   -514.602E-06         21.9101E-03         20.162E-03  
                4.49438E-03     -181.645             -2.27763E+03       70.4945E+06        81.8383E+03        70.4945E+06       132.153E+03         70.6435E+06        64.9261E+03         -6.65574E-03       22.2231E-03       22.2231E-03          1.55829E+09        0.               9.86816E+06        4.45639E+09        4.45067E+09          -6.63357E-03   -529.282E-06         22.4719E-03         20.6789E-03 
                4.60674E-03      109.177              1.367E+03         74.0318E+06        82.7516E+03        74.0318E+06       134.691E+03         74.1844E+06        64.779E+03          -6.8699E-03        22.7725E-03       22.7725E-03          1.59313E+09        0.              -9.18363E+06        4.55555E+09        4.56085E+09          -6.84629E-03   -546.254E-06         23.0337E-03         21.1959E-03 
                4.7191E-03       282.135              3.53527E+03       77.6551E+06        78.1169E+03        77.6551E+06       137.275E+03         77.8051E+06        65.4655E+03         -7.06668E-03       23.3215E-03       23.3214E-03          1.62924E+09        0.             -21.4746E+06         4.65856E+09        4.67096E+09          -7.04175E-03   -561.849E-06         23.5955E-03         21.7129E-03 
                4.83146E-03      187.007              2.34401E+03       81.362E+06         73.5654E+03        81.362E+06        140.253E+03         81.5099E+06        65.8398E+03         -7.21854E-03       23.8701E-03       23.8701E-03          1.6681E+09         0.             -16.2391E+06         4.77165E+09        4.78105E+09          -7.19258E-03   -573.881E-06         24.1573E-03         22.2299E-03 
                4.94382E-03      -72.9629          -912.602             85.1534E+06        72.6251E+03        85.1534E+06       143.723E+03         85.3039E+06        65.8624E+03         -7.34067E-03       24.4185E-03       24.4185E-03          1.70855E+09        0.             667.264E+03          4.89148E+09        4.89112E+09          -7.31382E-03   -583.553E-06         24.7191E-03         22.7468E-03 
                5.05618E-03     -248.742             -3.1168E+03        89.0308E+06        75.4472E+03        89.0308E+06       147.17E+03          89.1877E+06        65.7201E+03         -7.47439E-03       24.9667E-03       24.9667E-03          1.74798E+09        0.              12.9856E+06         5.00857E+09        5.00107E+09          -7.44658E-03   -594.146E-06         25.2809E-03         23.2638E-03 
                5.16854E-03     -184.012             -2.3058E+03        92.9921E+06        80.0533E+03        92.9921E+06       150.133E+03         93.1571E+06        65.1685E+03         -7.64784E-03       25.5144E-03       25.5144E-03          1.78484E+09        0.               9.6951E+06         5.11656E+09        5.111E+09            -7.61868E-03   -607.879E-06         25.8427E-03         23.7808E-03 
