9.27946e-03 7.16459e+05  3.06422e+09 3.06457e+09 9.33434e+05
9.33269e-03 7.49689e+05  3.09756e+09 3.09795e+09 9.37090e+05
9.38591e-03 7.39999e+05  3.13109e+09 3.13147e+09 9.40782e+05
9.43913e-03 7.01565e+05  3.16478e+09 3.16510e+09 9.44492e+05
9.49231e-03 6.63789e+05  3.19858e+09 3.19885e+09 9.48055e+05
9.54549e-03 6.34327e+05  3.23252e+09 3.23277e+09 9.51442e+05
9.59866e-03 6.11729e+05  3.26666e+09 3.26687e+09 9.54759e+05
9.65182e-03 6.12065e+05  3.30095e+09 3.30115e+09 9.57980e+05
9.70495e-03 6.46257e+05  3.33535e+09 3.33561e+09 9.61020e+05
9.75807e-03 6.88495e+05  3.36990e+09 3.37022e+09 9.64113e+05
9.81119e-03 7.04700e+05  3.40464e+09 3.40498e+09 9.67693e+05
9.86428e-03 6.97587e+05  3.43953e+09 3.43984e+09 9.71778e+05
9.91733e-03 6.89396e+05  3.47451e+09 3.47482e+09 9.75888e+05
9.97039e-03 6.79890e+05  3.50965e+09 3.50995e+09 9.79686e+05
1.00000e-02 6.69468e+05  3.52933e+09 3.52963e+09 9.81702e+05
