5.00600e-02 9.23517e+01  1.38015e+07 1.38015e+07 5.52630e+02
5.03038e-02 1.26402e+02  1.39357e+07 1.39358e+07 5.56146e+02
5.05476e-02 1.00350e+02  1.40706e+07 1.40707e+07 5.58586e+02
5.07914e-02 9.15755e+01  1.42061e+07 1.42062e+07 5.60546e+02
5.10351e-02 1.31404e+02  1.43423e+07 1.43424e+07 5.63463e+02
5.12789e-02 9.44665e+01  1.44791e+07 1.44791e+07 5.65927e+02
5.15227e-02 1.00950e+02  1.46165e+07 1.46166e+07 5.68055e+02
5.17664e-02 1.17774e+02  1.47546e+07 1.47547e+07 5.69897e+02
5.20102e-02 1.02138e+02  1.48933e+07 1.48934e+07 5.73267e+02
5.22539e-02 1.04158e+02  1.50327e+07 1.50328e+07 5.74763e+02
5.24977e-02 1.04168e+02  1.51727e+07 1.51728e+07 5.76549e+02
5.27414e-02 1.23282e+02  1.53134e+07 1.53135e+07 5.80452e+02
5.29852e-02 9.17801e+01  1.54546e+07 1.54547e+07 5.82035e+02
5.32289e-02 1.03844e+02  1.55966e+07 1.55967e+07 5.84163e+02
5.34727e-02 1.25852e+02  1.57392e+07 1.57393e+07 5.87630e+02
5.37164e-02 9.01351e+01  1.58824e+07 1.58825e+07 5.90552e+02
5.39601e-02 1.17484e+02  1.60263e+07 1.60264e+07 5.92346e+02
5.42039e-02 1.10900e+02  1.61708e+07 1.61709e+07 5.95763e+02
5.44476e-02 9.65585e+01  1.63159e+07 1.63160e+07 5.99396e+02
5.46913e-02 1.12606e+02  1.64617e+07 1.64618e+07 6.00415e+02
5.49351e-02 1.10661e+02  1.66081e+07 1.66083e+07 6.03964e+02
5.51788e-02 1.03360e+02  1.67552e+07 1.67553e+07 6.07087e+02
5.54225e-02 1.00798e+02  1.69029e+07 1.69030e+07 6.08587e+02
5.56662e-02 1.25941e+02  1.70513e+07 1.70514e+07 6.11566e+02
5.59099e-02 9.88785e+01  1.72003e+07 1.72004e+07 6.14543e+02
5.61536e-02 9.18710e+01  1.73499e+07 1.73500e+07 6.17118e+02
5.63973e-02 1.28470e+02  1.75002e+07 1.75003e+07 6.18971e+02
5.66410e-02 9.98447e+01  1.76511e+07 1.76512e+07 6.22530e+02
5.68847e-02 9.92789e+01  1.78027e+07 1.78027e+07 6.24976e+02
5.71284e-02 1.18844e+02  1.79549e+07 1.79550e+07 6.26701e+02
5.73721e-02 1.06648e+02  1.81077e+07 1.81078e+07 6.30458e+02
5.76158e-02 9.46313e+01  1.82612e+07 1.82613e+07 6.32384e+02
5.78595e-02 1.17176e+02  1.84153e+07 1.84154e+07 6.34828e+02
5.81032e-02 1.11906e+02  1.85701e+07 1.85702e+07 6.37486e+02
5.83469e-02 9.50603e+01  1.87255e+07 1.87255e+07 6.39707e+02
5.85906e-02 1.19254e+02  1.88815e+07 1.88816e+07 6.42567e+02
5.88343e-02 1.00817e+02  1.90382e+07 1.90383e+07 6.44709e+02
5.90779e-02 1.04985e+02  1.91955e+07 1.91956e+07 6.47378e+02
5.93216e-02 1.13516e+02  1.93535e+07 1.93536e+07 6.49521e+02
5.95653e-02 1.00492e+02  1.95121e+07 1.95122e+07 6.52313e+02
5.98089e-02 1.11065e+02  1.96713e+07 1.96714e+07 6.54543e+02
6.00526e-02 1.02575e+02  1.98312e+07 1.98313e+07 6.56337e+02
6.02963e-02 1.17004e+02  1.99917e+07 1.99918e+07 6.59951e+02
6.05399e-02 9.65264e+01  2.01529e+07 2.01530e+07 6.61798e+02
6.07836e-02 1.01742e+02  2.03147e+07 2.03148e+07 6.63733e+02
6.10272e-02 1.26757e+02  2.04771e+07 2.04772e+07 6.66834e+02
6.12709e-02 8.86284e+01  2.06402e+07 2.06402e+07 6.69272e+02
6.15145e-02 1.13289e+02  2.08039e+07 2.08040e+07 6.70963e+02
6.17582e-02 1.14975e+02  2.09682e+07 2.09684e+07 6.73693e+02
6.20018e-02 9.21295e+01  2.11332e+07 2.11333e+07 6.77051e+02
6.22455e-02 1.13603e+02  2.12989e+07 2.12990e+07 6.78222e+02
6.24891e-02 1.12210e+02  2.14651e+07 2.14652e+07 6.81375e+02
6.27327e-02 9.97229e+01  2.16320e+07 2.16321e+07 6.84626e+02
6.29764e-02 1.01467e+02  2.17996e+07 2.17997e+07 6.85941e+02
6.32200e-02 1.23320e+02  2.19678e+07 2.19679e+07 6.88810e+02
6.34636e-02 9.86722e+01  2.21366e+07 2.21367e+07 6.91614e+02
6.37072e-02 9.17950e+01  2.23060e+07 2.23061e+07 6.93602e+02
6.39508e-02 1.29629e+02  2.24761e+07 2.24763e+07 6.95231e+02
6.41945e-02 1.02543e+02  2.26469e+07 2.26470e+07 6.98583e+02
6.44381e-02 9.49259e+01  2.28182e+07 2.28183e+07 7.00976e+02
6.46817e-02 1.19211e+02  2.29903e+07 2.29904e+07 7.02128e+02
6.49253e-02 1.08834e+02  2.31629e+07 2.31630e+07 7.05981e+02
6.51689e-02 9.08301e+01  2.33362e+07 2.33362e+07 7.08135e+02
6.54125e-02 1.16749e+02  2.35101e+07 2.35102e+07 7.09809e+02
6.56561e-02 1.18703e+02  2.36847e+07 2.36848e+07 7.12812e+02
6.58997e-02 8.50766e+01  2.38599e+07 2.38599e+07 7.15094e+02
6.61433e-02 1.17639e+02  2.40357e+07 2.40358e+07 7.17379e+02
6.63869e-02 1.12081e+02  2.42122e+07 2.42123e+07 7.19394e+02
6.66305e-02 9.54108e+01  2.43893e+07 2.43893e+07 7.22123e+02
6.68740e-02 1.12058e+02  2.45670e+07 2.45671e+07 7.24068e+02
6.71176e-02 1.09430e+02  2.47454e+07 2.47455e+07 7.26275e+02
6.73612e-02 1.10241e+02  2.49244e+07 2.49245e+07 7.28858e+02
6.76048e-02 9.35385e+01  2.51041e+07 2.51041e+07 7.30516e+02
6.78483e-02 1.21399e+02  2.52844e+07 2.52845e+07 7.33388e+02
6.80919e-02 1.05572e+02  2.54653e+07 2.54654e+07 7.35368e+02
6.83355e-02 8.96248e+01  2.56469e+07 2.56469e+07 7.37428e+02
6.85790e-02 1.35415e+02  2.58290e+07 2.58292e+07 7.40300e+02
6.88226e-02 9.49644e+01  2.60119e+07 2.60120e+07 7.42453e+02
6.90662e-02 1.00782e+02  2.61954e+07 2.61954e+07 7.44571e+02
6.93097e-02 1.21199e+02  2.63795e+07 2.63796e+07 7.46951e+02
6.95533e-02 9.79767e+01  2.65642e+07 2.65643e+07 7.49596e+02
6.97968e-02 1.12984e+02  2.67496e+07 2.67497e+07 7.50826e+02
7.00404e-02 1.08024e+02  2.69356e+07 2.69357e+07 7.53761e+02
7.02839e-02 1.09894e+02  2.71222e+07 2.71223e+07 7.56737e+02
7.05275e-02 1.02185e+02  2.73095e+07 2.73096e+07 7.57795e+02
7.07710e-02 1.13130e+02  2.74974e+07 2.74976e+07 7.61210e+02
7.10145e-02 1.10350e+02  2.76860e+07 2.76861e+07 7.64054e+02
7.12581e-02 9.23106e+01  2.78752e+07 2.78753e+07 7.65972e+02
7.15016e-02 1.26790e+02  2.80650e+07 2.80652e+07 7.68430e+02
7.17451e-02 1.04743e+02  2.82555e+07 2.82556e+07 7.71533e+02
7.19886e-02 9.50508e+01  2.84466e+07 2.84467e+07 7.74041e+02
7.22322e-02 1.22872e+02  2.86383e+07 2.86384e+07 7.75520e+02
7.24757e-02 1.03884e+02  2.88307e+07 2.88308e+07 7.79576e+02
7.27192e-02 1.01058e+02  2.90237e+07 2.90237e+07 7.81807e+02
7.29627e-02 1.15911e+02  2.92173e+07 2.92174e+07 7.83436e+02
7.32062e-02 1.16817e+02  2.94116e+07 2.94117e+07 7.87301e+02
7.34497e-02 9.03202e+01  2.96065e+07 2.96065e+07 7.89430e+02
7.36932e-02 1.10237e+02  2.98020e+07 2.98021e+07 7.91524e+02
7.39367e-02 1.20585e+02  2.99982e+07 2.99983e+07 7.94184e+02
7.41802e-02 9.46755e+01  3.01950e+07 3.01951e+07 7.97243e+02
7.44237e-02 1.07185e+02  3.03924e+07 3.03925e+07 7.99087e+02
7.46672e-02 1.12823e+02  3.05905e+07 3.05906e+07 8.01301e+02
7.49107e-02 1.10918e+02  3.07892e+07 3.07893e+07 8.05118e+02
7.51542e-02 9.46511e+01  3.09886e+07 3.09886e+07 8.06346e+02
7.53977e-02 1.13312e+02  3.11885e+07 3.11886e+07 8.08449e+02
7.56412e-02 1.18688e+02  3.13891e+07 3.13893e+07 8.11432e+02
7.58846e-02 8.68182e+01  3.15904e+07 3.15904e+07 8.12981e+02
7.61281e-02 1.26292e+02  3.17922e+07 3.17924e+07 8.15004e+02
7.63716e-02 1.04160e+02  3.19948e+07 3.19949e+07 8.17460e+02
7.66151e-02 9.37395e+01  3.21979e+07 3.21980e+07 8.19818e+02
7.68585e-02 1.24284e+02  3.24017e+07 3.24018e+07 8.21573e+02
7.71020e-02 9.84032e+01  3.26061e+07 3.26062e+07 8.24471e+02
7.73455e-02 1.10952e+02  3.28111e+07 3.28112e+07 8.26586e+02
7.75889e-02 1.08573e+02  3.30168e+07 3.30169e+07 8.28408e+02
7.78324e-02 1.03821e+02  3.32231e+07 3.32232e+07 8.31358e+02
7.80758e-02 1.09543e+02  3.34300e+07 3.34301e+07 8.32748e+02
7.83193e-02 1.07358e+02  3.36376e+07 3.36377e+07 8.34913e+02
7.85627e-02 1.11890e+02  3.38458e+07 3.38459e+07 8.37271e+02
7.88062e-02 9.94175e+01  3.40546e+07 3.40547e+07 8.39175e+02
7.90496e-02 1.19463e+02  3.42641e+07 3.42642e+07 8.41264e+02
7.92930e-02 1.07766e+02  3.44742e+07 3.44743e+07 8.43454e+02
7.95365e-02 9.54932e+01  3.46849e+07 3.46850e+07 8.46227e+02
7.97799e-02 1.23357e+02  3.48963e+07 3.48964e+07 8.47600e+02
8.00233e-02 1.06769e+02  3.51083e+07 3.51084e+07 8.50356e+02
8.02668e-02 1.00411e+02  3.53209e+07 3.53210e+07 8.53028e+02
8.05102e-02 1.15439e+02  3.55342e+07 3.55343e+07 8.54334e+02
8.07536e-02 1.15348e+02  3.57481e+07 3.57482e+07 8.57613e+02
8.09970e-02 9.41637e+01  3.59626e+07 3.59627e+07 8.59794e+02
8.12404e-02 1.09290e+02  3.61778e+07 3.61779e+07 8.61460e+02
8.14839e-02 1.27092e+02  3.63935e+07 3.63937e+07 8.63881e+02
8.17273e-02 9.33773e+01  3.66099e+07 3.66100e+07 8.66257e+02
8.19707e-02 1.06092e+02  3.68270e+07 3.68271e+07 8.67879e+02
8.22141e-02 1.20679e+02  3.70447e+07 3.70448e+07 8.69562e+02
8.24575e-02 1.04994e+02  3.72630e+07 3.72631e+07 8.72757e+02
8.27009e-02 9.76732e+01  3.74819e+07 3.74820e+07 8.73924e+02
8.29443e-02 1.19189e+02  3.77015e+07 3.77016e+07 8.75920e+02
8.31877e-02 1.16247e+02  3.79217e+07 3.79218e+07 8.79282e+02
8.34311e-02 8.73362e+01  3.81425e+07 3.81426e+07 8.80393e+02
8.36744e-02 1.30216e+02  3.83640e+07 3.83641e+07 8.82632e+02
8.39178e-02 1.09133e+02  3.85861e+07 3.85862e+07 8.85421e+02
8.41612e-02 8.70085e+01  3.88088e+07 3.88089e+07 8.86970e+02
8.44046e-02 1.34804e+02  3.90321e+07 3.90323e+07 8.88672e+02
8.46480e-02 1.05542e+02  3.92561e+07 3.92562e+07 8.91667e+02
8.48913e-02 1.03299e+02  3.94807e+07 3.94808e+07 8.93660e+02
